Date,Adj Close,Close,High,Low,Open,Volume
22/10/2015,681.1400146,681.1400146,688.0499878,671.7000122,675.4400024,4431600
23/10/2015,719.3300171,719.3300171,752.5,717.9400024,750.0599976,6336300
26/10/2015,731.1199951,731.1199951,734.9500122,720.0200195,720.0200195,2438800
27/10/2015,732.8200073,732.8200073,735.960022,724.1400146,726.5700073,1938900
28/10/2015,736.9199829,736.9199829,737.3699951,727.2700195,733,1980200
29/10/2015,744.8499756,744.8499756,746.789978,735.1599731,736.6300049,1826000
30/10/2015,737.3900146,737.3900146,746.3099976,736.5300293,745.5599976,1999200
02/11/2015,747.7399902,747.7399902,748.1799927,731.4500122,734.5300293,1995700
03/11/2015,748.8200073,748.8200073,751.7000122,741.1599731,745.4299927,1815300
04/11/2015,755.3099976,755.3099976,759.9000244,749.2000122,749.9000244,2092000
05/11/2015,760.6699829,760.6699829,766.3499756,757.4699707,758.8099976,2274300
06/11/2015,761.5999756,761.5999756,763.0200195,755.0300293,759.3900146,1677200
09/11/2015,754.7700195,754.7700195,763.2999878,749.1099854,758.5200195,1776900
10/11/2015,758.2600098,758.2600098,760.5999756,748.4099731,753.4799805,1489900
11/11/2015,765.25,765.25,769.0800171,759.75,762.3800049,2093300
12/11/2015,756.5300293,756.5300293,765.7999878,755.8599854,760.1799927,1772600
13/11/2015,740.0700073,740.0700073,755.3300171,739.4699707,754.039978,2409400
16/11/2015,750.4199829,750.4199829,751.710022,734.3300171,740.210022,2535200
17/11/2015,745.9799805,745.9799805,754.9500122,744.0499878,752.4699707,1943200
18/11/2015,760.0100098,760.0100098,761.0999756,747.3900146,749.5700073,1813300
19/11/2015,759.9400024,759.9400024,763.2299805,757.2299805,759.7800293,1403900
20/11/2015,777,777,779.3200073,764.0999756,769.2999878,2773900
23/11/2015,776.7000122,776.7000122,782.9000244,773.5100098,777.4699707,1732400
24/11/2015,769.6300049,769.6300049,775.9899902,758.1099854,772.960022,2394000
25/11/2015,769.2600098,769.2600098,773,766.5300293,771.6900024,1180600
27/11/2015,771.9699707,771.9699707,774,767,769.1599731,721700
30/11/2015,762.8499756,762.8499756,775.0300293,761.1199951,771.8699951,1679300
01/12/2015,783.789978,783.789978,785,765.9500122,766.9400024,2019900
02/12/2015,777.8499756,777.8499756,793.0499878,776.4299927,785.25,2343800
03/12/2015,768.2000122,768.2000122,784.4799805,762.4500122,780.5599976,2097500
04/12/2015,779.210022,779.210022,782.4199829,765.5100098,769.710022,2490000
07/12/2015,772.9899902,772.9899902,781,766.7199707,780.0599976,1831300
08/12/2015,775.1400146,775.1400146,778.6500244,762.5200195,764.5,1554100
09/12/2015,762.5499878,762.5499878,776.0900269,752.0100098,771.0999756,2327500
10/12/2015,760.039978,760.039978,766.0700073,755,763.5900269,1622900
11/12/2015,750.4199829,750.4199829,757.4400024,748.6500244,749,2159200
14/12/2015,762.539978,762.539978,764.1500244,736.2600098,751.2600098,2693200
15/12/2015,760.0900269,760.0900269,774.75,758,767.789978,2469300
16/12/2015,776.5900269,776.5900269,781.5,757.0499878,766.5700073,2656000
17/12/2015,769.8300171,769.8300171,781.5900269,769.2999878,781.1599731,1825500
18/12/2015,756.8499756,756.8499756,774.1400146,756.5900269,767.2299805,3389700
21/12/2015,760.7999878,760.7999878,766.3499756,754.1500244,763.0499878,1742400
22/12/2015,767.1300049,767.1300049,770.3400269,761.2000122,764.2700195,1816900
23/12/2015,768.5100098,768.5100098,771.9000244,757.6500244,770.6900024,1529700
24/12/2015,765.8400269,765.8400269,769.2000122,764.3900146,768.5200195,520600
28/12/2015,782.2399902,782.2399902,782.8200073,767.7299805,770,1557800
29/12/2015,793.960022,793.960022,798.6900024,786.2000122,786.9899902,1921500
30/12/2015,790.2999878,790.2999878,796.460022,787.2000122,793.960022,1428300
31/12/2015,778.0100098,778.0100098,788.3300171,777.3200073,787.8200073,1637600
04/01/2016,759.4400024,759.4400024,762.2000122,747.539978,762.2000122,3369100
05/01/2016,761.5300293,761.5300293,769.2000122,755.6500244,764.0999756,2260800
06/01/2016,759.3300171,759.3300171,765.7299805,748,750.3699951,2410300
07/01/2016,741,741,755.3099976,735.2800293,746.4899902,3156600
08/01/2016,730.9099731,730.9099731,750.1199951,728.9199829,747.7999878,2375300
11/01/2016,733.0700073,733.0700073,735.0800171,719.5599976,731.9500122,2544800
12/01/2016,745.3400269,745.3400269,748.3400269,736.4299927,740.75,2340800
13/01/2016,719.5700073,719.5700073,753,716.7800293,749.3400269,2586400
14/01/2016,731.3900146,731.3900146,739.8900146,705,724.4400024,2777900
15/01/2016,710.4899902,710.4899902,724.1599731,701.5100098,709.9899902,3833800
19/01/2016,719.0800171,719.0800171,725.3499756,709.8499756,720.1500244,2436200
20/01/2016,718.5599976,718.5599976,726.9500122,687.7800293,705.9000244,4122000
21/01/2016,726.6699829,726.6699829,737.6699829,711.1099854,720.1699829,2596900
22/01/2016,745.460022,745.460022,748.5599976,740.5,742,2357300
25/01/2016,733.6199951,733.6199951,752.460022,732.5,743.8400269,2267000
26/01/2016,733.789978,733.789978,739.460022,726.9699707,735.210022,1547000
27/01/2016,717.5800171,717.5800171,735.8900146,713.4500122,735.8900146,2121400
28/01/2016,748.2999878,748.2999878,751.1599731,730.5999756,738.1900024,3105200
29/01/2016,761.3499756,761.3499756,765.1099854,744.2000122,748.960022,3790400
01/02/2016,770.7700195,770.7700195,777.5900269,761.3800049,771.2600098,5576100
02/02/2016,780.9099731,780.9099731,810.3499756,780.5999756,800.5,6792300
03/02/2016,749.3800049,749.3800049,791.4299927,736.2600098,786.2800293,6555700
04/02/2016,730.0300293,730.0300293,745.2399902,722.5999756,744.5900269,5246100
05/02/2016,703.7600098,703.7600098,726.7199707,700.1400146,725.5,5477800
08/02/2016,704.1599731,704.1599731,704.5200195,682.0100098,687.6799927,4470500
09/02/2016,701.0200195,701.0200195,720.960022,688.5,692.9500122,4215000
10/02/2016,706.8499756,706.8499756,723.2199707,705.3900146,711.789978,3015700
11/02/2016,706.3599854,706.3599854,712.3200073,691.1900024,696.3400269,3250200
12/02/2016,706.8900146,706.8900146,716,701.5800171,712.210022,2326900
16/02/2016,717.6400146,717.6400146,722.8800049,710.1799927,718.6500244,2172200
17/02/2016,731.9699707,731.9699707,733.7600098,716.6099854,727,2457700
18/02/2016,717.5100098,717.5100098,736,715.5499878,733.960022,2363800
19/02/2016,722.1099854,722.1099854,724.0300293,713.1199951,715.9000244,1745900
22/02/2016,729.0499878,729.0499878,734.8499756,723.4500122,729.5100098,1875800
23/02/2016,717.289978,717.289978,730.9000244,715.6699829,726.0999756,2066600
24/02/2016,720.9000244,720.9000244,721.2199707,702.0200195,710.6099854,1854600
25/02/2016,729.1199951,729.1199951,729.5100098,713.2299805,722.9299927,1807300
26/02/2016,724.8599854,724.8599854,736.1599731,721.9400024,733.5999756,2123700
29/02/2016,717.2199707,717.2199707,730.5999756,716.8400269,721,2253400
01/03/2016,742.1699829,742.1699829,742.3300171,718.6400146,721.2999878,3005600
02/03/2016,739.4799805,739.4799805,743.1199951,733.25,742.8699951,1814600
03/03/2016,731.5900269,731.5900269,741,729.6300049,739.4799805,2026700
04/03/2016,730.2199707,730.2199707,735,725.6199951,734.7999878,2425800
07/03/2016,712.7999878,712.7999878,727.210022,705.1400146,725.1500244,3084500
08/03/2016,713.5300293,713.5300293,722.25,704,708.3900146,2626500
09/03/2016,725.4099731,725.4099731,726.2399902,712.6599731,715.1699829,1977200
10/03/2016,732.1699829,732.1699829,736.539978,723.289978,727.789978,2230800
11/03/2016,744.8699951,744.8699951,744.9000244,736.7000122,739.9500122,1769000
14/03/2016,750.2399902,750.2399902,754.2600098,743.6599731,744.9699707,1641200
15/03/2016,750.5700073,750.5700073,753.0100098,742.8400269,746.0200195,1491600
16/03/2016,757.3599854,757.3599854,759,746.5,749.0499878,1465300
17/03/2016,758.4799805,758.4799805,765.3400269,757.3599854,757.6500244,2228200
18/03/2016,755.4099731,755.4099731,762.1400146,751.8200073,761.6300049,2811100
21/03/2016,762.1599731,762.1599731,763.3400269,751.2700195,753.9099731,1438700
22/03/2016,760.0499878,760.0499878,765,757.8800049,758.4400024,1104800
23/03/2016,757.5599976,757.5599976,765.3900146,756.0300293,763.3499756,1233900
24/03/2016,754.8400269,754.8400269,757.5599976,750.5,751.2000122,1555800
28/03/2016,753.2800293,753.2800293,758.2999878,752.039978,756.1699829,1083800
29/03/2016,765.8900146,765.8900146,767.1799927,748.289978,753.6799927,2003100
